Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Equivalent potential temp [K] of the LCL,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding,Tanggal,Jam,sounding_time_utc,year,month,day,hour,cb_h3,cb_h6,cb_h12
WIII,96749,200101/1200,-6.11,106.65,8,1.29,-2.23,-2.41,220.8,34.9,18.8,23.7,42.5,541.7,624.09,-52.68,-30.29,219.44,219.52,819.65,839.59,60.45,69.64,293.98,923.88,351.06,300.72,17.12,5783.0,60.17,2020-01-01,12,2020-01-01 12:00:00,2020,1,1,12,0,1,1
WIII,96749,200102/0000,-6.11,106.65,8,1.03,-0.9,-1.2,229.41,34.4,19.8,21.5,41.3,721.73,820.22,-11.76,-8.34,175.67,175.19,904.89,912.66,324.14,368.37,294.91,957.62,349.59,298.6,17.48,5768.0,60.34,2020-01-02,00,2020-01-02 00:00:00,2020,1,2,0,0,0,1
WIII,96749,200102/1200,-6.11,106.65,8,-1.12,-2.51,-2.83,237.41,35.7,21.3,23.9,45.2,697.24,782.42,-56.37,-45.59,174.1,173.35,795.13,806.98,43.4,48.7,294.32,931.42,351.31,300.37,17.32,5785.0,62.73,2020-01-02,12,2020-01-02 12:00:00,2020,1,2,12,0,0,0
WIII,96749,200103/0000,-6.11,106.65,8,-0.66,-3.02,-3.33,236.19,35.6,21.3,23.5,44.8,896.19,997.89,-42.5,-32.83,,,858.73,873.03,94.15,104.83,294.44,936.11,351.05,300.06,17.37,5786.0,60.61,2020-01-03,00,2020-01-03 00:00:00,2020,1,3,0,1,1,1
WIII,96749,200103/1200,-6.11,106.65,8,-1.8,-4.88,-5.51,250.59,35.0,21.8,24.7,46.5,1858.53,2024.76,-15.93,-10.16,132.83,132.87,858.67,902.33,153.55,167.28,295.61,931.82,357.19,301.64,18.78,5800.0,62.18,2020-01-03,12,2020-01-03 12:00:00,2020,1,3,12,1,1,1
WIII,96749,200104/0000,-6.11,106.65,8,-2.97,-4.87,-5.5,260.42,34.4,23.6,24.7,48.3,1389.73,1523.71,-11.33,-8.04,151.14,151.1,895.54,905.17,203.53,223.15,295.14,943.69,352.95,300.09,18.01,5777.0,60.56,2020-01-04,00,2020-01-04 00:00:00,2020,1,4,0,1,1,1
WIII,96749,200104/1200,-6.11,106.65,8,-2.39,-5.75,-6.42,247.81,35.7,22.3,25.3,47.6,2126.54,2296.71,-24.28,-13.91,151.79,151.79,866.37,883.04,137.06,148.02,295.44,919.19,358.65,302.67,18.88,5808.0,62.66,2020-01-04,12,2020-01-04 12:00:00,2020,1,4,12,1,1,1
WIII,96749,200105/0000,-6.11,106.65,8,-0.79,-2.89,-3.13,262.82,38.5,21.5,21.7,43.2,1137.91,1213.18,0.0,0.0,,,964.21,972.53,302.84,322.88,296.77,974.23,355.43,299.01,19.29,5794.0,72.25,2020-01-05,00,2020-01-05 00:00:00,2020,1,5,0,1,1,1
WIII,96749,200105/1200,-6.11,106.65,8,-3.05,-5.05,-5.8,275.61,39.8,23.4,24.5,47.9,1624.14,1773.4,-16.16,-11.65,160.72,160.67,886.45,893.73,83.85,91.55,295.4,933.77,355.86,301.26,18.51,5791.0,62.54,2020-01-05,12,2020-01-05 12:00:00,2020,1,5,12,1,1,1
WIII,96749,200106/0000,-6.11,106.65,8,-1.86,-2.58,-3.17,272.39,34.5,22.3,23.3,45.6,887.24,1009.3,-18.68,-11.07,163.85,163.85,762.61,839.81,51.08,58.1,295.14,952.05,351.52,299.32,17.83,5782.0,59.4,2020-01-06,00,2020-01-06 00:00:00,2020,1,6,0,1,1,1
