threshold,accuracy,precision,pod_recall,far,f1_score,specificity,csi,tn,fp,fn,tp,model
0.1,0.5374592833876222,0.480225988700565,0.9695817490494296,0.519774011299435,0.6423173803526449,0.21367521367521367,0.47309833024118736,75,276,8,255,1D-CNN
0.11,0.5488599348534202,0.48659003831417624,0.9657794676806084,0.5134099616858238,0.6471337579617834,0.23646723646723647,0.4783427495291902,83,268,9,254,1D-CNN
0.12,0.5586319218241043,0.49224806201550386,0.9657794676806084,0.5077519379844961,0.6521181001283697,0.2535612535612536,0.4838095238095238,89,262,9,254,1D-CNN
0.13,0.5667752442996743,0.49706457925636005,0.9657794676806084,0.50293542074364,0.6563307493540051,0.2678062678062678,0.48846153846153845,94,257,9,254,1D-CNN
0.14,0.5749185667752443,0.501984126984127,0.9619771863117871,0.498015873015873,0.6597131681877445,0.2849002849002849,0.49221789883268485,100,251,10,253,1D-CNN
0.15,0.5814332247557004,0.5060240963855421,0.9581749049429658,0.4939759036144578,0.6622864651773982,0.29914529914529914,0.4950884086444008,105,246,11,252,1D-CNN
0.16,0.5863192182410424,0.5091649694501018,0.9505703422053232,0.4908350305498982,0.6631299734748011,0.31339031339031337,0.49603174603174605,110,241,13,250,1D-CNN
0.17,0.5944625407166124,0.51440329218107,0.9505703422053232,0.48559670781893005,0.6675567423230975,0.32763532763532766,0.501002004008016,115,236,13,250,1D-CNN
0.18,0.6009771986970684,0.51875,0.9467680608365019,0.48125,0.6702557200538358,0.3418803418803419,0.5040485829959515,120,231,14,249,1D-CNN
0.19,0.6074918566775245,0.523109243697479,0.9467680608365019,0.47689075630252103,0.6738836265223275,0.35327635327635326,0.5081632653061224,124,227,14,249,1D-CNN
0.2,0.6188925081433225,0.5309168443496801,0.9467680608365019,0.4690831556503198,0.680327868852459,0.3732193732193732,0.515527950310559,131,220,14,249,1D-CNN
0.21,0.6205211726384365,0.5321888412017167,0.9429657794676806,0.4678111587982833,0.6803840877914952,0.3789173789173789,0.5155925155925156,133,218,15,248,1D-CNN
0.22,0.6237785016286646,0.5347826086956522,0.935361216730038,0.4652173913043478,0.6804979253112033,0.3903133903133903,0.5157232704402516,137,214,17,246,1D-CNN
0.23,0.6237785016286646,0.5352422907488987,0.9239543726235742,0.4647577092511013,0.6778242677824268,0.39886039886039887,0.5126582278481012,140,211,20,243,1D-CNN
0.24,0.6319218241042345,0.5413870246085011,0.9201520912547528,0.45861297539149887,0.6816901408450704,0.41595441595441596,0.5170940170940171,146,205,21,242,1D-CNN
0.25,0.6351791530944625,0.5444191343963554,0.908745247148289,0.45558086560364464,0.6809116809116809,0.4301994301994302,0.5161987041036717,151,200,24,239,1D-CNN
0.26,0.6335504885993485,0.543778801843318,0.8973384030418251,0.45622119815668205,0.6771879483500718,0.4358974358974359,0.5119305856832972,153,198,27,236,1D-CNN
0.27,0.6384364820846905,0.5480093676814989,0.8897338403041825,0.4519906323185012,0.6782608695652174,0.45014245014245013,0.5131578947368421,158,193,29,234,1D-CNN
0.28,0.6449511400651465,0.5534441805225653,0.8859315589353612,0.44655581947743467,0.6812865497076024,0.46438746438746437,0.516629711751663,163,188,30,233,1D-CNN
0.29,0.6514657980456026,0.5590361445783133,0.8821292775665399,0.44096385542168676,0.6843657817109144,0.47863247863247865,0.5201793721973094,168,183,31,232,1D-CNN
0.3,0.6530944625407166,0.5606796116504854,0.8783269961977186,0.4393203883495146,0.6844444444444444,0.4843304843304843,0.5202702702702703,170,181,32,231,1D-CNN
0.31,0.6514657980456026,0.5599022004889975,0.870722433460076,0.4400977995110024,0.6815476190476191,0.48717948717948717,0.5169300225733634,171,180,34,229,1D-CNN
0.32,0.6563517915309446,0.5646766169154229,0.8631178707224335,0.43532338308457713,0.6827067669172933,0.5014245014245015,0.5182648401826484,176,175,36,227,1D-CNN
0.33,0.6596091205211726,0.5681818181818182,0.8555133079847909,0.4318181818181818,0.6828528072837633,0.5128205128205128,0.5184331797235023,180,171,38,225,1D-CNN
0.34,0.6612377850162866,0.570694087403599,0.844106463878327,0.42930591259640105,0.6809815950920245,0.5242165242165242,0.5162790697674419,184,167,41,222,1D-CNN
0.35,0.6628664495114006,0.5740740740740741,0.8250950570342205,0.42592592592592593,0.6770670826833073,0.5413105413105413,0.5117924528301887,190,161,46,217,1D-CNN
0.36,0.6644951140065146,0.5764075067024129,0.8174904942965779,0.42359249329758714,0.6761006289308176,0.5498575498575499,0.5106888361045131,193,158,48,215,1D-CNN
0.37,0.6693811074918566,0.5815217391304348,0.8136882129277566,0.41847826086956524,0.6782884310618067,0.5612535612535613,0.513189448441247,197,154,49,214,1D-CNN
0.38,0.6677524429967426,0.5835694050991501,0.7832699619771863,0.4164305949008499,0.6688311688311688,0.5811965811965812,0.5024390243902439,204,147,57,206,1D-CNN
0.39,0.6677524429967426,0.5855072463768116,0.7680608365019012,0.4144927536231884,0.6644736842105263,0.5925925925925926,0.4975369458128079,208,143,61,202,1D-CNN
0.4,0.6710097719869706,0.5905044510385756,0.7566539923954373,0.4094955489614243,0.6633333333333333,0.6068376068376068,0.49625935162094764,213,138,64,199,1D-CNN
0.41,0.6791530944625407,0.6,0.752851711026616,0.4,0.6677908937605397,0.6239316239316239,0.5012658227848101,219,132,65,198,1D-CNN
0.42,0.6824104234527687,0.60625,0.7376425855513308,0.39375,0.6655231560891939,0.6410256410256411,0.4987146529562982,225,126,69,194,1D-CNN
0.43,0.6807817589576547,0.6070287539936102,0.7224334600760456,0.3929712460063898,0.6597222222222222,0.6495726495726496,0.49222797927461137,228,123,73,190,1D-CNN
0.44,0.6872964169381107,0.6171617161716172,0.7110266159695817,0.38283828382838286,0.6607773851590106,0.6695156695156695,0.49340369393139843,235,116,76,187,1D-CNN
0.45,0.6856677524429967,0.6174496644295302,0.6996197718631179,0.3825503355704698,0.6559714795008913,0.6752136752136753,0.4880636604774536,237,114,79,184,1D-CNN
0.46,0.6938110749185668,0.629757785467128,0.6920152091254753,0.370242214532872,0.6594202898550725,0.6951566951566952,0.4918918918918919,244,107,81,182,1D-CNN
0.47,0.6889250814332247,0.6276595744680851,0.6730038022813688,0.3723404255319149,0.6495412844036698,0.7008547008547008,0.48097826086956524,246,105,86,177,1D-CNN
0.48,0.6824104234527687,0.6240875912408759,0.6501901140684411,0.3759124087591241,0.6368715083798883,0.7065527065527065,0.4672131147540984,248,103,92,171,1D-CNN
0.49,0.6807817589576547,0.6254681647940075,0.6349809885931559,0.37453183520599254,0.630188679245283,0.7150997150997151,0.46005509641873277,251,100,96,167,1D-CNN
0.5,0.6775244299674267,0.6254826254826255,0.6159695817490495,0.3745173745173745,0.6206896551724138,0.7236467236467237,0.45,254,97,101,162,1D-CNN
0.51,0.6856677524429967,0.64,0.6083650190114068,0.36,0.6237816764132553,0.7435897435897436,0.45325779036827196,261,90,103,160,1D-CNN
0.52,0.6824104234527687,0.639344262295082,0.5931558935361216,0.36065573770491804,0.6153846153846154,0.7492877492877493,0.4444444444444444,263,88,107,156,1D-CNN
0.53,0.6872964169381107,0.6485355648535565,0.5893536121673004,0.3514644351464435,0.6175298804780877,0.7606837606837606,0.44668587896253603,267,84,108,155,1D-CNN
0.54,0.6905537459283387,0.658008658008658,0.5779467680608364,0.341991341991342,0.6153846153846154,0.7749287749287749,0.4444444444444444,272,79,111,152,1D-CNN
0.55,0.6905537459283387,0.6636771300448431,0.5627376425855514,0.336322869955157,0.6090534979423868,0.7863247863247863,0.4378698224852071,276,75,115,148,1D-CNN
0.56,0.6889250814332247,0.6666666666666666,0.5475285171102662,0.3333333333333333,0.6012526096033403,0.7948717948717948,0.4298507462686567,279,72,119,144,1D-CNN
0.57,0.6775244299674267,0.6555023923444976,0.5209125475285171,0.3444976076555024,0.5805084745762712,0.7948717948717948,0.408955223880597,279,72,126,137,1D-CNN
0.58,0.6742671009771987,0.6536585365853659,0.5095057034220533,0.3463414634146341,0.5726495726495726,0.7977207977207977,0.40119760479041916,280,71,129,134,1D-CNN
0.59,0.6628664495114006,0.6428571428571429,0.4790874524714829,0.35714285714285715,0.5490196078431373,0.8005698005698005,0.3783783783783784,281,70,137,126,1D-CNN
0.6,0.6661237785016286,0.6526315789473685,0.4714828897338403,0.3473684210526316,0.5474613686534217,0.811965811965812,0.3768996960486322,285,66,139,124,1D-CNN
0.61,0.6596091205211726,0.6467391304347826,0.4524714828897338,0.3532608695652174,0.5324384787472036,0.8148148148148148,0.3628048780487805,286,65,144,119,1D-CNN
0.62,0.6579804560260586,0.6480446927374302,0.44106463878326996,0.35195530726256985,0.5248868778280543,0.8205128205128205,0.3558282208588957,288,63,147,116,1D-CNN
0.63,0.6547231270358306,0.6473988439306358,0.42585551330798477,0.35260115606936415,0.5137614678899083,0.8262108262108262,0.345679012345679,290,61,151,112,1D-CNN
0.64,0.6579804560260586,0.6586826347305389,0.41825095057034223,0.3413173652694611,0.5116279069767442,0.8376068376068376,0.34375,294,57,153,110,1D-CNN
0.65,0.6514657980456026,0.6503067484662577,0.40304182509505704,0.3496932515337423,0.49765258215962443,0.8376068376068376,0.33125,294,57,157,106,1D-CNN
0.66,0.6596091205211726,0.6730769230769231,0.39923954372623577,0.3269230769230769,0.5011933174224343,0.8547008547008547,0.3343949044585987,300,51,158,105,1D-CNN
0.67,0.6563517915309446,0.6733333333333333,0.3840304182509506,0.32666666666666666,0.4891041162227603,0.8603988603988604,0.32371794871794873,302,49,162,101,1D-CNN
0.68,0.6514657980456026,0.6713286713286714,0.3650190114068441,0.32867132867132864,0.4729064039408867,0.8660968660968661,0.3096774193548387,304,47,167,96,1D-CNN
0.69,0.6482084690553745,0.6690647482014388,0.35361216730038025,0.33093525179856115,0.4626865671641791,0.8689458689458689,0.30097087378640774,305,46,170,93,1D-CNN
0.7,0.6433224755700325,0.671875,0.3269961977186312,0.328125,0.4398976982097187,0.8803418803418803,0.2819672131147541,309,42,177,86,1D-CNN
0.71,0.6482084690553745,0.6974789915966386,0.3155893536121673,0.3025210084033613,0.43455497382198954,0.8974358974358975,0.27759197324414714,315,36,180,83,1D-CNN
0.72,0.6530944625407166,0.7232142857142857,0.30798479087452474,0.2767857142857143,0.432,0.9116809116809117,0.2755102040816326,320,31,182,81,1D-CNN
0.73,0.6482084690553745,0.7155963302752294,0.2965779467680608,0.28440366972477066,0.41935483870967744,0.9116809116809117,0.2653061224489796,320,31,185,78,1D-CNN
0.74,0.6482084690553745,0.7326732673267327,0.2813688212927757,0.26732673267326734,0.4065934065934066,0.9230769230769231,0.25517241379310346,324,27,189,74,1D-CNN
0.75,0.6433224755700325,0.7244897959183674,0.26996197718631176,0.2755102040816326,0.39335180055401664,0.9230769230769231,0.24482758620689654,324,27,192,71,1D-CNN
0.76,0.6433224755700325,0.75,0.2509505703422053,0.25,0.37606837606837606,0.9373219373219374,0.23157894736842105,329,22,197,66,1D-CNN
0.77,0.6465798045602605,0.7875,0.23954372623574144,0.2125,0.3673469387755102,0.9515669515669516,0.225,334,17,200,63,1D-CNN
0.78,0.6449511400651465,0.8,0.22813688212927757,0.2,0.35502958579881655,0.9572649572649573,0.2158273381294964,336,15,203,60,1D-CNN
0.79,0.6433224755700325,0.8142857142857143,0.21673003802281368,0.18571428571428572,0.34234234234234234,0.9629629629629629,0.20652173913043478,338,13,206,57,1D-CNN
0.8,0.6384364820846905,0.8153846153846154,0.20152091254752852,0.18461538461538463,0.3231707317073171,0.9658119658119658,0.19272727272727272,339,12,210,53,1D-CNN
0.81,0.6270358306188925,0.7931034482758621,0.17490494296577946,0.20689655172413793,0.2866043613707165,0.9658119658119658,0.16727272727272727,339,12,217,46,1D-CNN
0.82,0.6302931596091205,0.8461538461538461,0.16730038022813687,0.15384615384615385,0.27936507936507937,0.9772079772079773,0.16236162361623616,343,8,219,44,1D-CNN
0.83,0.6221498371335505,0.8604651162790697,0.14068441064638784,0.13953488372093023,0.24183006535947713,0.9829059829059829,0.137546468401487,345,6,226,37,1D-CNN
0.84,0.6140065146579805,0.8611111111111112,0.11787072243346007,0.1388888888888889,0.20735785953177258,0.9857549857549858,0.11567164179104478,346,5,232,31,1D-CNN
0.85,0.6091205211726385,0.8484848484848485,0.10646387832699619,0.15151515151515152,0.1891891891891892,0.9857549857549858,0.1044776119402985,346,5,235,28,1D-CNN
0.86,0.6042345276872965,0.8846153846153846,0.08745247148288973,0.11538461538461539,0.15916955017301038,0.9914529914529915,0.08646616541353383,348,3,240,23,1D-CNN
0.87,0.6009771986970684,0.875,0.07984790874524715,0.125,0.14634146341463414,0.9914529914529915,0.07894736842105263,348,3,242,21,1D-CNN
0.88,0.5928338762214984,0.8823529411764706,0.057034220532319393,0.11764705882352941,0.10714285714285714,0.9943019943019943,0.05660377358490566,349,2,248,15,1D-CNN
0.89,0.5895765472312704,0.8666666666666667,0.049429657794676805,0.13333333333333333,0.09352517985611511,0.9943019943019943,0.04905660377358491,349,2,250,13,1D-CNN
0.9,0.5846905537459284,0.9,0.034220532319391636,0.1,0.06593406593406594,0.9971509971509972,0.03409090909090909,350,1,254,9,1D-CNN
