threshold,accuracy,precision,pod_recall,far,f1_score,specificity,csi,tn,fp,fn,tp,model
0.1,0.504885993485342,0.46371681415929206,0.9961977186311787,0.536283185840708,0.6328502415458938,0.13675213675213677,0.4628975265017668,48,303,1,262,DNN
0.11,0.5179153094462541,0.4702702702702703,0.9923954372623575,0.5297297297297298,0.6381418092909535,0.1623931623931624,0.46858168761220825,57,294,2,261,DNN
0.12,0.5260586319218241,0.4744525547445255,0.9885931558935361,0.5255474452554745,0.6411837237977805,0.1794871794871795,0.47186932849364793,63,288,3,260,DNN
0.13,0.5325732899022801,0.477859778597786,0.9847908745247148,0.522140221402214,0.6434782608695652,0.19373219373219372,0.47435897435897434,68,283,4,259,DNN
0.14,0.5390879478827362,0.48134328358208955,0.9809885931558935,0.5186567164179104,0.6458072590738423,0.20797720797720798,0.47689463955637706,73,278,5,258,DNN
0.15,0.5504885993485342,0.4877126654064272,0.9809885931558935,0.5122873345935728,0.6515151515151515,0.22792022792022792,0.48314606741573035,80,271,5,258,DNN
0.16,0.5521172638436482,0.48863636363636365,0.9809885931558935,0.5113636363636364,0.6523388116308471,0.23076923076923078,0.48405253283302063,81,270,5,258,DNN
0.17,0.5586319218241043,0.49236641221374045,0.9809885931558935,0.5076335877862596,0.6556543837357052,0.24216524216524216,0.4877126654064272,85,266,5,258,DNN
0.18,0.5635179153094463,0.4951830443159923,0.9771863117870723,0.5048169556840078,0.6572890025575447,0.2535612535612536,0.4895238095238095,89,262,6,257,DNN
0.19,0.5651465798045603,0.49613899613899615,0.9771863117870723,0.5038610038610039,0.6581306017925737,0.2564102564102564,0.4904580152671756,90,261,6,257,DNN
0.2,0.5700325732899023,0.49902534113060426,0.973384030418251,0.5009746588693957,0.6597938144329897,0.2678062678062678,0.49230769230769234,94,257,7,256,DNN
0.21,0.5798045602605864,0.504930966469428,0.973384030418251,0.49506903353057197,0.6649350649350649,0.2849002849002849,0.4980544747081712,100,251,7,256,DNN
0.22,0.5895765472312704,0.5109780439121756,0.973384030418251,0.48902195608782434,0.6701570680628273,0.301994301994302,0.5039370078740157,106,245,7,256,DNN
0.23,0.5960912052117264,0.5151515151515151,0.9695817490494296,0.48484848484848486,0.6728232189973615,0.3162393162393162,0.5069582504970179,111,240,8,255,DNN
0.24,0.6026058631921825,0.5194274028629857,0.9657794676806084,0.48057259713701433,0.675531914893617,0.33048433048433046,0.5100401606425703,116,235,9,254,DNN
0.25,0.6107491856677525,0.524896265560166,0.9619771863117871,0.475103734439834,0.6791946308724832,0.3475783475783476,0.5142276422764228,122,229,10,253,DNN
0.26,0.6156351791530945,0.5281837160751566,0.9619771863117871,0.4718162839248434,0.6819407008086253,0.3561253561253561,0.5173824130879345,125,226,10,253,DNN
0.27,0.6205211726384365,0.5316455696202531,0.9581749049429658,0.46835443037974683,0.683853459972863,0.36752136752136755,0.5195876288659794,129,222,11,252,DNN
0.28,0.6319218241042345,0.5399568034557235,0.9505703422053232,0.46004319654427644,0.6887052341597796,0.39316239316239315,0.5252100840336135,138,213,13,250,DNN
0.29,0.6400651465798045,0.5460526315789473,0.9467680608365019,0.45394736842105265,0.6926286509040334,0.41025641025641024,0.5297872340425532,144,207,14,249,DNN
0.3,0.6498371335504886,0.5535714285714286,0.9429657794676806,0.44642857142857145,0.6976090014064698,0.4301994301994302,0.5356371490280778,151,200,15,248,DNN
