threshold,accuracy,precision,pod_recall,far,f1_score,specificity,csi,tn,fp,fn,tp,model
0.1,0.5179153094462541,0.4702702702702703,0.9923954372623575,0.5297297297297298,0.6381418092909535,0.1623931623931624,0.46858168761220825,57,294,2,261,TCN
0.11,0.5276872964169381,0.47540983606557374,0.9923954372623575,0.5245901639344263,0.6428571428571429,0.1794871794871795,0.47368421052631576,63,288,2,261,TCN
0.12,0.5342019543973942,0.47889908256880737,0.9923954372623575,0.5211009174311927,0.6460396039603961,0.1908831908831909,0.47714808043875684,67,284,2,261,TCN
0.13,0.5390879478827362,0.48154981549815495,0.9923954372623575,0.518450184501845,0.6484472049689441,0.19943019943019943,0.4797794117647059,70,281,2,261,TCN
0.14,0.5456026058631922,0.4851301115241636,0.9923954372623575,0.5148698884758365,0.651685393258427,0.21082621082621084,0.48333333333333334,74,277,2,261,TCN
0.15,0.5504885993485342,0.4878048780487805,0.9885931558935361,0.5121951219512195,0.6532663316582915,0.2222222222222222,0.48507462686567165,78,273,3,260,TCN
0.16,0.5553745928338762,0.49053030303030304,0.9847908745247148,0.509469696969697,0.6548672566371682,0.2336182336182336,0.4868421052631579,82,269,4,259,TCN
0.17,0.5586319218241043,0.49233716475095785,0.9771863117870723,0.5076628352490421,0.6547770700636942,0.245014245014245,0.48674242424242425,86,265,6,257,TCN
0.18,0.5651465798045603,0.49612403100775193,0.973384030418251,0.5038759689922481,0.6572528883183568,0.25925925925925924,0.4894837476099426,91,260,7,256,TCN
0.19,0.5716612377850163,0.5,0.973384030418251,0.5,0.6606451612903226,0.2706552706552707,0.4932562620423892,95,256,7,256,TCN
0.2,0.5798045602605864,0.504930966469428,0.973384030418251,0.49506903353057197,0.6649350649350649,0.2849002849002849,0.4980544747081712,100,251,7,256,TCN
0.21,0.5879478827361564,0.5099601593625498,0.973384030418251,0.4900398406374502,0.6692810457516339,0.29914529914529914,0.5029469548133595,105,246,7,256,TCN
0.22,0.5944625407166124,0.5140562248995983,0.973384030418251,0.4859437751004016,0.6727989487516426,0.31054131054131057,0.5069306930693069,109,242,7,256,TCN
0.23,0.5960912052117264,0.5150905432595574,0.973384030418251,0.48490945674044267,0.6736842105263158,0.31339031339031337,0.5079365079365079,110,241,7,256,TCN
0.24,0.5993485342019544,0.5171717171717172,0.973384030418251,0.48282828282828283,0.6754617414248021,0.3190883190883191,0.5099601593625498,112,239,7,256,TCN
0.25,0.6058631921824105,0.5214723926380368,0.9695817490494296,0.4785276073619632,0.6781914893617021,0.3333333333333333,0.5130784708249497,117,234,8,255,TCN
0.26,0.6107491856677525,0.5246913580246914,0.9695817490494296,0.47530864197530864,0.6809078771695594,0.3418803418803419,0.5161943319838057,120,231,8,255,TCN
0.27,0.6156351791530945,0.5279503105590062,0.9695817490494296,0.4720496894409938,0.6836461126005362,0.3504273504273504,0.5193482688391039,123,228,8,255,TCN
0.28,0.6156351791530945,0.5283018867924528,0.9581749049429658,0.4716981132075472,0.6810810810810811,0.358974358974359,0.5163934426229508,126,225,11,252,TCN
0.29,0.6221498371335505,0.53276955602537,0.9581749049429658,0.46723044397463004,0.6847826086956522,0.37037037037037035,0.5206611570247934,130,221,11,252,TCN
0.3,0.6302931596091205,0.5384615384615384,0.9581749049429658,0.46153846153846156,0.6894664842681258,0.38461538461538464,0.5260960334029228,135,216,11,252,TCN
0.31,0.6368078175895765,0.5431034482758621,0.9581749049429658,0.45689655172413796,0.6932599724896836,0.396011396011396,0.5305263157894737,139,212,11,252,TCN
0.32,0.6400651465798045,0.5458515283842795,0.9505703422053232,0.45414847161572053,0.6934812760055479,0.4074074074074074,0.5307855626326964,143,208,13,250,TCN
0.33,0.6449511400651465,0.549889135254989,0.9429657794676806,0.4501108647450111,0.6946778711484594,0.42165242165242167,0.5321888412017167,148,203,15,248,TCN
