,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Equivalent potential temp [K] of the LCL,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
Showalter index,1.0,0.4494041564422468,0.41588532126520367,-0.7061792712399358,-0.614093362636452,-0.9468691063186796,-0.17296121779307888,-0.9347048230695953,-0.35383513758807333,-0.3457201595696585,-0.2660415028527406,-0.1975450748680572,0.33404475716236576,0.36193878009139435,-0.3095051384367179,-0.2531121739208966,-0.07830573934233437,-0.07564377022545762,-0.4815336805670868,-0.16916391672598158,-0.2802627696529822,0.03307453344742785,-0.13092553677325913,0.0055744756919332335,-0.6323627019690755
Lifted index,0.4494041564422468,1.0,0.9938806694212472,-0.24040797567892974,-0.38743786260906454,-0.43506713278122416,-0.3040408087266115,-0.5128309909948652,-0.5508749960561807,-0.5539341051258552,-0.2788687326966008,-0.31114942654288164,0.7450415071744557,0.7637062638191544,-0.5629008777630008,-0.5985099605021182,-0.1112379709850821,-0.10894106540561968,-0.48987254967868044,0.3990219837355939,-0.8365410611995514,-0.55825662805393,-0.5771057803603848,-0.3686935856852413,-0.3553144100416672
LIFT computed using virtual temperature,0.41588532126520367,0.9938806694212472,1.0,-0.21852520410883403,-0.3467016294412062,-0.40451873267777233,-0.26826065509006464,-0.4714656345581311,-0.5617470019075768,-0.5683985591047884,-0.28440754838669857,-0.3230000905372596,0.759958368856416,0.7805037746491383,-0.5785735624301324,-0.6221996948114606,-0.11021624576748602,-0.1081712151985743,-0.4866493859405882,0.4012295325907249,-0.8694986801612561,-0.602254907358191,-0.6203984327151301,-0.41310566061911985,-0.29155747886000505
SWEAT index,-0.7061792712399358,-0.24040797567892974,-0.21852520410883403,1.0,0.49476570586436047,0.7164020572520563,-0.24228803868747203,0.5686953977663873,0.23263067990397604,0.22486526743673832,0.3019414100664704,0.2552464941293846,-0.22197269617838702,-0.25088410537346717,0.33199919895271585,0.2944845781945587,0.022576205515738534,0.01820047661113783,0.37814148302688155,0.13430623677061682,0.21634006938416017,-0.03544797991133985,0.103695424289208,-0.012273273489630915,0.5598853066996773
K index,-0.614093362636452,-0.38743786260906454,-0.3467016294412062,0.49476570586436047,1.0,0.5965868802725109,0.19155144878925723,0.619525340952579,0.2742841922969106,0.25797799723099013,0.2403467242930947,0.1343329133701726,-0.33832810633130417,-0.3517790063240605,0.26027237911777756,0.17586466459487443,0.06344604101260981,0.061037577452802735,0.49860928614075145,0.1678820805305261,0.28517049084933827,-0.006849324668230145,0.16252121399943512,0.021508663763550515,0.7905653403518728
Cross totals index,-0.9468691063186796,-0.43506713278122416,-0.40451873267777233,0.7164020572520563,0.5965868802725109,1.0,0.024943540621587997,0.9286112566131693,0.2610246519200071,0.2537281086869361,0.25426434925495917,0.19198578858932036,-0.26696899107542194,-0.2936844160418167,0.32557683764461837,0.27221677831768304,0.05505566794120909,0.05290715144950254,0.5734404876599081,0.20712981432570685,0.25882403261082204,-0.02928688516164236,0.14933526922766308,-0.017817085078654357,0.569991482835137
Vertical totals index,-0.17296121779307888,-0.3040408087266115,-0.26826065509006464,-0.24228803868747203,0.19155144878925723,0.024943540621587997,1.0,0.3941014839168298,0.10771648726767255,0.10011359307534509,-0.24727853205824116,-0.25448820254416593,-0.09118731611957011,-0.09443133590999556,-0.2390156515496081,-0.24050225528716643,0.044772415086164113,0.04459418502079531,0.025353201515668663,-0.014069773976337996,0.041481300382764284,0.01289874798577239,0.0028655934330409287,0.010529429675654983,0.11028030634476461
Totals totals index,-0.9347048230695953,-0.5128309909948652,-0.4714656345581311,0.5686953977663873,0.619525340952579,0.9286112566131693,0.3941014839168298,1.0,0.2799551665284747,0.2704250273673329,0.14197704588322133,0.08204507514351803,-0.27991845861205183,-0.3051858091024286,0.19049224378019505,0.14252521521842562,0.06723394051475888,0.06519236767119208,0.5366043977007463,0.18520342978902055,0.25334671167478284,-0.02213779593183629,0.13835533850840578,-0.012473319644175324,0.5649563049537376
Convective Available Potential Energy,-0.35383513758807333,-0.5508749960561807,-0.5617470019075768,0.23263067990397604,0.2742841922969106,0.2610246519200071,0.10771648726767255,0.2799551665284747,1.0,0.9974533775127986,0.4895002644073513,0.5177546042859703,-0.6864961121476791,-0.6954503835563921,0.5941610585817648,0.6214512728153819,0.17987280118314738,0.17314804625801747,0.4939743632440955,0.11770850884007611,0.5722279850616998,0.0681575260178323,0.2558587464452674,0.10237052733295078,0.409188085523499
CAPE using virtual temperature,-0.3457201595696585,-0.5539341051258552,-0.5683985591047884,0.22486526743673832,0.25797799723099013,0.2537281086869361,0.10011359307534509,0.2704250273673329,0.9974533775127986,1.0,0.4965646437599494,0.5296408144967383,-0.7011965446728331,-0.7112670836278452,0.6040051527014061,0.6347630703372259,0.17779652459440845,0.17158550919387738,0.5002641825138918,0.11621155394861263,0.5799804663000994,0.07010423310794936,0.2565963335548452,0.10390516014348847,0.3847278090523583
Convective Inhibition,-0.2660415028527406,-0.2788687326966008,-0.28440754838669857,0.3019414100664704,0.2403467242930947,0.25426434925495917,-0.24727853205824116,0.14197704588322133,0.4895002644073513,0.4965646437599494,1.0,0.8250537658055932,-0.6158819574058978,-0.5700837102192668,0.8903744024693607,0.8039692251360634,0.08691239669576291,0.08388333407295846,0.27567995153504227,0.11203704563795681,0.3198249596591193,0.039877643917919744,0.19370276702905714,0.034769050746407404,0.3253113789628853
CINS using virtual temperature,-0.1975450748680572,-0.31114942654288164,-0.3230000905372596,0.2552464941293846,0.1343329133701726,0.19198578858932036,-0.25448820254416593,0.08204507514351803,0.5177546042859703,0.5296408144967383,0.8250537658055932,1.0,-0.6392427230141575,-0.6564070049318826,0.7859304966173766,0.9074710981437022,0.090701002508817,0.08839548654829442,0.31070316026945566,0.1198539913829199,0.3592161997614969,0.046515770166638694,0.21160300970686252,0.05269580513714208,0.24885022433488505
Equilibrum Level,0.33404475716236576,0.7450415071744557,0.759958368856416,-0.22197269617838702,-0.33832810633130417,-0.26696899107542194,-0.09118731611957011,-0.27991845861205183,-0.6864961121476791,-0.7011965446728331,-0.6158819574058978,-0.6392427230141575,1.0,0.9863958709038497,-0.5797150320699056,-0.6230829719064555,-0.11117735347551795,-0.10791124102123086,-0.761547025678959,-0.4090914019547551,-0.7632211436442553,-0.28049138625974884,-0.7795840214644116,-0.1939090398155456,-0.42235824890394036
Equilibrum Level using virtual temperature,0.36193878009139435,0.7637062638191544,0.7805037746491383,-0.25088410537346717,-0.3517790063240605,-0.2936844160418167,-0.09443133590999556,-0.3051858091024286,-0.6954503835563921,-0.7112670836278452,-0.5700837102192668,-0.6564070049318826,0.9863958709038497,1.0,-0.5967387036783562,-0.6480135812130423,-0.11296039392191189,-0.10976378918534935,-0.7802098444121559,-0.43256208625998344,-0.7815049978335863,-0.2784346656891742,-0.7978851156696274,-0.2006110808782377,-0.4385239157086756
Level of Free Convection,-0.3095051384367179,-0.5629008777630008,-0.5785735624301324,0.33199919895271585,0.26027237911777756,0.32557683764461837,-0.2390156515496081,0.19049224378019505,0.5941610585817648,0.6040051527014061,0.8903744024693607,0.7859304966173766,-0.5797150320699056,-0.5967387036783562,1.0,0.8852493488309899,0.10213213389537713,0.09816995079517069,0.6634438611621263,0.4668049231404759,0.5903765774973418,0.08411556594610126,0.6535165940370379,0.03061765864225383,0.3860515311247022
LFCT using virtual temperature,-0.2531121739208966,-0.5985099605021182,-0.6221996948114606,0.2944845781945587,0.17586466459487443,0.27221677831768304,-0.24050225528716643,0.14252521521842562,0.6214512728153819,0.6347630703372259,0.8039692251360634,0.9074710981437022,-0.6230829719064555,-0.6480135812130423,0.8852493488309899,1.0,0.10703190860279786,0.10319925564284656,0.7024627763929701,0.4933101394852081,0.6326591137444746,0.09716005221769979,0.6938964401497023,0.05052139755498226,0.3213745573537372
Bulk Richardson Number,-0.07830573934233437,-0.1112379709850821,-0.11021624576748602,0.022576205515738534,0.06344604101260981,0.05505566794120909,0.044772415086164113,0.06723394051475888,0.17987280118314738,0.17779652459440845,0.08691239669576291,0.090701002508817,-0.11117735347551795,-0.11296039392191189,0.10213213389537713,0.10703190860279786,1.0,0.9981852085833497,0.10630200595932998,0.021110159215032984,0.11484867612894119,0.015254563946496132,0.05099296845371313,0.027747383070266852,0.09886415427400443
Bulk Richardson Number using CAPV,-0.07564377022545762,-0.10894106540561968,-0.1081712151985743,0.01820047661113783,0.061037577452802735,0.05290715144950254,0.04459418502079531,0.06519236767119208,0.17314804625801747,0.17158550919387738,0.08388333407295846,0.08839548654829442,-0.10791124102123086,-0.10976378918534935,0.09816995079517069,0.10319925564284656,0.9981852085833497,1.0,0.10379298354002839,0.020221786121645675,0.11226623920366666,0.015007147005164423,0.04951313486801922,0.027286210316201345,0.09387458820864128
Temp [K] of the Lifted Condensation Level,-0.4815336805670868,-0.48987254967868044,-0.4866493859405882,0.37814148302688155,0.49860928614075145,0.5734404876599081,0.025353201515668663,0.5366043977007463,0.4939743632440955,0.5002641825138918,0.27567995153504227,0.31070316026945566,-0.761547025678959,-0.7802098444121559,0.6634438611621263,0.7024627763929701,0.10630200595932998,0.10379298354002839,1.0,0.5054528266591704,0.5167228212485091,-0.04193669187000369,0.3212416526217591,0.09396673607204542,0.5391120981612969
Pres [hPa] of the Lifted Condensation Level,-0.16916391672598158,0.3990219837355939,0.4012295325907249,0.13430623677061682,0.1678820805305261,0.20712981432570685,-0.014069773976337996,0.18520342978902055,0.11770850884007611,0.11621155394861263,0.11203704563795681,0.1198539913829199,-0.4090914019547551,-0.43256208625998344,0.4668049231404759,0.4933101394852081,0.021110159215032984,0.020221786121645675,0.5054528266591704,1.0,-0.22349232761587234,-0.5066784874364028,-0.07873764116011824,-0.175390260961967,0.24219981131517376
Equivalent potential temp [K] of the LCL,-0.2802627696529822,-0.8365410611995514,-0.8694986801612561,0.21634006938416017,0.28517049084933827,0.25882403261082204,0.041481300382764284,0.25334671167478284,0.5722279850616998,0.5799804663000994,0.3198249596591193,0.3592161997614969,-0.7632211436442553,-0.7815049978335863,0.5903765774973418,0.6326591137444746,0.11484867612894119,0.11226623920366666,0.5167228212485091,-0.22349232761587234,1.0,0.7538668627878922,0.8436091936620529,0.6640987099012579,0.27282161722811366
Mean mixed layer potential temperature,0.03307453344742785,-0.55825662805393,-0.602254907358191,-0.03544797991133985,-0.006849324668230145,-0.02928688516164236,0.01289874798577239,-0.02213779593183629,0.0681575260178323,0.07010423310794936,0.039877643917919744,0.046515770166638694,-0.28049138625974884,-0.2784346656891742,0.08411556594610126,0.09716005221769979,0.015254563946496132,0.015007147005164423,-0.04193669187000369,-0.5066784874364028,0.7538668627878922,1.0,0.4656307144148453,0.7942727627136483,0.035939543109593804
Mean mixed layer mixing ratio,-0.13092553677325913,-0.5771057803603848,-0.6203984327151301,0.103695424289208,0.16252121399943512,0.14933526922766308,0.0028655934330409287,0.13835533850840578,0.2558587464452674,0.2565963335548452,0.19370276702905714,0.21160300970686252,-0.7795840214644116,-0.7978851156696274,0.6535165940370379,0.6938964401497023,0.05099296845371313,0.04951313486801922,0.3212416526217591,-0.07873764116011824,0.8436091936620529,0.4656307144148453,1.0,0.8038897126152962,0.06898179496970434
1000 hPa to 500 hPa thickness,0.0055744756919332335,-0.3686935856852413,-0.41310566061911985,-0.012273273489630915,0.021508663763550515,-0.017817085078654357,0.010529429675654983,-0.012473319644175324,0.10237052733295078,0.10390516014348847,0.034769050746407404,0.05269580513714208,-0.1939090398155456,-0.2006110808782377,0.03061765864225383,0.05052139755498226,0.027747383070266852,0.027286210316201345,0.09396673607204542,-0.175390260961967,0.6640987099012579,0.7942727627136483,0.8038897126152962,1.0,-0.08103206305925001
