,0,1
Showalter index,1.172093553907587,-0.09521346469622331
Lifted index,-1.5190717539863325,-2.5342165709598032
LIFT computed using virtual temperature,-2.06373576309795,-3.0151189499589828
SWEAT index,209.533981745579,219.37990147783248
K index,28.828635844748856,34.33408866995074
Cross totals index,18.946138049058757,20.36431855500821
Vertical totals index,23.149526525955505,23.318932676518884
Totals totals index,42.095670279520824,43.683251231527095
Convective Available Potential Energy,638.1505596382137,909.6579951100246
CAPE using virtual temperature,756.9933747880159,1032.594726976365
Convective Inhibition,-75.26493499152065,-52.6319478402608
CINS using virtual temperature,-50.278756359525154,-37.32869600651996
Equilibrum Level,242.23546923555003,197.3781746031746
Equilibrum Level using virtual temperature,241.26164525993883,195.8165963060686
Level of Free Convection,784.3704928741092,815.1798195242001
LFCT using virtual temperature,818.8130274693162,842.084054054054
Bulk Richardson Number,509.3697997711671,760.6210205761317
Bulk Richardson Number using CAPV,598.8055949656751,859.2877530864198
Temp [K] of the Lifted Condensation Level,293.6038892029395,294.4889486552567
Pres [hPa] of the Lifted Condensation Level,923.4697456189938,932.2702444987776
Equivalent potential temp [K] of the LCL,350.1270265686828,352.3767481662592
Mean mixed layer potential temperature,299.07913948256464,299.6934172077922
Mean mixed layer mixing ratio,16.836355455568054,17.735792038992688
1000 hPa to 500 hPa thickness,5789.513445521962,5791.236218211649
Precipitable water [mm] for entire sounding,51.609378531073446,58.11756712774614
